t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.089509164280830333e+01,2.897923657359348937e+01,1.012567178359820730e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.090108339476704913e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.841881477978166970e+01,-8.129075673144753011e+01,6.287194195166586042e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.090823197349785545e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.840323789570408053e+01,-7.682063749642674111e+01,5.841739960072266058e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.092217849490999271e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.837284816992735159e+01,-7.263652192338841473e+01,5.426367375346106314e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.094258758579898227e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,4.999999999999999289e+01,6.832837638681095882e+01,-6.871857607666143508e+01,5.039019968985046916e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.096913848211551823e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.827052149709749074e+01,-6.504835689800438558e+01,4.677783540090689485e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.100152440320578506e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.819995198145444704e+01,-6.160871436443247262e+01,4.340876238297802558e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.103945195278927116e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.811730715575460238e+01,-5.838370053962064787e+01,4.026639338386604550e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.108264054553180955e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.802319842058382449e+01,-5.535848503274125676e+01,3.733528661215743227e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.113082185812069014e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.791821045735849793e+01,-5.251927641289514526e+01,3.460106595553664732e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.118373930379544134e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.780290237333254311e+01,-4.985324915917642841e+01,3.205034678584388530e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.124114752933216010e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.767780879767784086e+01,-4.734847575604372594e+01,2.967066695836588153e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.130281193352256963e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.754344093072710109e+01,-4.499386357120803837e+01,2.745042264048093728e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.136850820622965585e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.740028754838017733e+01,-4.277909617884479587e+01,2.537880863046461855e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.143802188714087009e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.724881596358885361e+01,-4.069457881472656879e+01,2.344576285113771164e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.151114794337777170e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.708947294675320450e+01,-3.873138767198236110e+01,2.164191472522915660e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.158769036515645467e+01,5.000000000000000000e+01
