t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.107595016407892103e+02,-1.636970809928485835e+02,1.029375793520593732e+02,0.000000000000000000e+00,7.729999999999999716e+01,2.646999999999999886e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000001421e+01,1.109556132903597643e+02,-1.568059226911867654e+02,9.585030940082701534e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.108248721906460617e+02,-1.497846500117492212e+02,8.895977782110315957e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.644000000000000128e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000001421e+01,1.108248721906460617e+02,-1.435022412013877329e+02,8.267736901074168543e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.644000000000000128e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109556132903597643e+02,-1.379157501563957169e+02,7.696013686603595261e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109556132903597643e+02,-1.324807653381319881e+02,7.152515204777222380e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109556132903597643e+02,-1.274296033816463734e+02,6.647399009128660907e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109556132903597643e+02,-1.227351584174379155e+02,6.177954512707815127e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109556132903597643e+02,-1.183722388136255859e+02,5.741662552326582158e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.109556132903597643e+02,-1.143174319909963401e+02,5.336181870063657584e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.109556132903597643e+02,-1.105489787849198251e+02,4.959336549456005372e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.108902427405029130e+02,-1.069205320993640385e+02,4.603028935886113260e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.641000000000000014e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.108902427405029130e+02,-1.036698372067448588e+02,4.277959446624194584e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.641000000000000014e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.108248721906460617e+02,-1.005225843392107095e+02,3.969771214856464070e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.644000000000000128e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.102583274252200169e+02,-9.662602128415606728e+01,3.636769385893605033e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.669999999999999929e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.102583274252200169e+02,-9.405770641300864554e+01,3.379937898778863570e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.669999999999999929e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.102583274252200169e+02,-9.167076793880690389e+01,3.141244051358689404e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.669999999999999929e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.100404255923638601e+02,-8.903198165057624180e+01,2.899155605821237813e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.680000000000000071e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.095610415600802980e+02,-8.605966178624568386e+01,2.649862022616538226e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.701999999999999957e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.095610415600802980e+02,-8.418830858316030685e+01,2.462726702308001236e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.701999999999999957e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.095610415600802980e+02,-8.244911180108134374e+01,2.288807024100104570e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.701999999999999957e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.088637556949405507e+02,-7.948740959131596640e+01,2.062365389637541568e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.733999999999999986e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.088637556949405507e+02,-7.803095108710307670e+01,1.916719539216252599e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.733999999999999986e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.085804833122275426e+02,-7.613080896796817854e+01,1.755032565574063597e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.746999999999999886e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.081446796465152147e+02,-7.405056076120881414e+01,1.590588111469359411e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.767000000000000171e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.080793090966583634e+02,-7.280115046547619784e+01,1.472184136881783090e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.769999999999999929e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.074473937813754958e+02,-7.054227828080406937e+01,1.309488449942857535e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.798999999999999844e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.073820232315186445e+02,-6.949138275583842983e+01,1.210935952431978535e+01,0.000000000000000000e+00,7.729999999999999716e+01,2.801999999999999957e+01,5.000000000000000000e+01
