t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.302835058647016808e+02,-2.013662890529690230e+02,1.210827831882673422e+02,0.000000000000000000e+00,7.729999999999999716e+01,1.751000000000000156e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.301963451315592124e+02,-1.926471624719963529e+02,1.124508173404371405e+02,0.000000000000000000e+00,7.729999999999999716e+01,1.755000000000000071e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.305449880641290861e+02,-1.853784625806490567e+02,1.048334745165199706e+02,0.000000000000000000e+00,7.729999999999999716e+01,1.739000000000000057e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.301309745817023611e+02,-1.771762519336712955e+02,9.704527735196893445e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.757999999999999829e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.306321487972715545e+02,-1.712897939653626338e+02,9.065764516809107931e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.735000000000000142e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.304796175142722348e+02,-1.645931897523300336e+02,8.411357223805779881e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.742000000000000171e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000001421e+01,1.299130727488461901e+02,-1.575599440573169545e+02,7.764687130847077867e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.767999999999999972e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.300656040318455098e+02,-1.523707522057245853e+02,7.230514817387907556e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.760999999999999943e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.299130727488461901e+02,-1.469702156272181526e+02,6.705714287837196252e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.767999999999999972e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,4.999999999999998579e+01,1.299130727488461901e+02,-1.422345879589033757e+02,6.232151521005717143e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.767999999999999972e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.299130727488461901e+02,-1.378333940056304527e+02,5.792032125678426979e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.767999999999999972e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.299130727488461901e+02,-1.337430157979156888e+02,5.382994304906949168e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.767999999999999972e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.299130727488461901e+02,-1.299415032856788628e+02,5.002843053683267271e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.767999999999999972e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.298477021989893387e+02,-1.262823319679174006e+02,4.643462976892805472e+01,0.000000000000000000e+00,7.729999999999999716e+01,1.771000000000000085e+01,5.000000000000000000e+01
