t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.316780775949811471e+02,-2.040569467715490646e+02,1.223788691765679175e+02,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.316780775949811471e+02,-1.954144556958287637e+02,1.137363781008476167e+02,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.316780775949811471e+02,-1.873823040724704470e+02,1.057042264774892999e+02,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000001421e+01,1.316127070451242957e+02,-1.797912646733287829e+02,9.817855762820450138e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.189999999999999858e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000001421e+01,1.316780775949811471e+02,-1.729839430320184306e+02,9.130586543703729774e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.316780775949811471e+02,-1.665358516865919114e+02,8.485777409161076434e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.316780775949811471e+02,-1.605431295751127436e+02,7.886505198013159657e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.316780775949811471e+02,-1.549736181675419857e+02,7.329554057256083865e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,4.999999999999998579e+01,1.316127070451242957e+02,-1.496713054137254630e+02,6.805859836860115308e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.189999999999999858e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.316780775949811471e+02,-1.449910787591043686e+02,6.331300116412322154e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.187000000000000099e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.315473364952674444e+02,-1.402676161342600949e+02,5.872027963899265757e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.192999999999999972e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.314819659454105931e+02,-1.359946196618590477e+02,5.451265371644844748e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.196000000000000085e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.316127070451242957e+02,-1.323971427515697599e+02,5.078443570644547123e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.189999999999999858e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.313294346624112734e+02,-1.282641664912658541e+02,4.693473182885457362e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.203000000000000114e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.311986935626975708e+02,-1.246973500057283104e+02,4.349865644303073964e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.208999999999999986e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.309807917298414282e+02,-1.212050257332665666e+02,4.022423400342513844e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.309807917298414282e+02,-1.183643589928285849e+02,3.738356726298715671e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.309807917298414282e+02,-1.157243023505106407e+02,3.474351062066921969e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.309807917298414282e+02,-1.132706885649060666e+02,3.228989683506463138e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.309807917298414282e+02,-1.109903508962327123e+02,3.000955916639128418e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.307846800802708742e+02,-1.084926787084536102e+02,2.770799862818273596e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.228000000000000114e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.302835058647016808e+02,-1.055689631428841153e+02,2.528545727818243449e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.302835058647016808e+02,-1.037832844522524454e+02,2.349977858755076099e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.302835058647016808e+02,-1.021237117818163114e+02,2.184020591711463055e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.302835058647016808e+02,-1.005813394261915619e+02,2.029783356148987394e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.295862199995619619e+02,-9.780256174855588824e+01,1.821634174899391923e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.282999999999999829e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.295862199995619619e+02,-9.651610950351343376e+01,1.692988950395147540e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.282999999999999829e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.295208494497051106e+02,-9.519438293761774617e+01,1.567353348791263912e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.285999999999999943e+01,5.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.289543046842790659e+02,-9.299442609467502052e+01,1.404012141039595107e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.312000000000000099e+01,5.000000000000000000e+01
2.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.288889341344222146e+02,-9.187677720270703219e+01,1.298784306828481760e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.314999999999999858e+01,5.000000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.288889341344222146e+02,-9.095956560755364251e+01,1.207063147313143148e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.314999999999999858e+01,5.000000000000000000e+01
3.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.281698580859968786e+02,-8.871975782362497398e+01,1.054989973762810074e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.348000000000000043e+01,5.000000000000000000e+01
3.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.281698580859968786e+02,-8.797471568566696476e+01,9.804857599670082635e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.348000000000000043e+01,5.000000000000000000e+01
3.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.276251035038564510e+02,-8.623125083256712742e+01,8.606147328710683553e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.373000000000000043e+01,5.000000000000000000e+01
3.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.274725722208571455e+02,-8.532918731596147666e+01,7.856615095104334756e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.380000000000000071e+01,5.000000000000000000e+01
3.500000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.268406569055742494e+02,-8.355514275882494246e+01,6.714485853250686809e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.408999999999999986e+01,5.000000000000000000e+01
3.600000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.267752863557173981e+02,-8.295483595665237431e+01,6.179549600934970854e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.412000000000000099e+01,5.000000000000000000e+01
3.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.265573845228612413e+02,-8.209801608136983475e+01,5.540631558508592569e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.421999999999999886e+01,5.000000000000000000e+01
3.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.260780004905776792e+02,-8.078181877373378939e+01,4.703818283156107505e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.444000000000000128e+01,5.000000000000000000e+01
3.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.257293575580078056e+02,-7.977696703260663469e+01,4.047609474598833579e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.460000000000000142e+01,5.000000000000000000e+01
4.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.253589244421523432e+02,-7.877641574188083951e+01,3.417491299728500742e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.476999999999999957e+01,5.000000000000000000e+01
4.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.251628127925817893e+02,-7.815669610235576670e+01,2.993883309773980539e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.485999999999999943e+01,5.000000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.246616385770125959e+02,-7.697831061313712553e+01,2.316672036124532319e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.508999999999999986e+01,5.000000000000000000e+01
4.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.240950938115865654e+02,-7.572162573106014349e+01,1.626531919473584109e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.535000000000000142e+01,5.000000000000000000e+01
4.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.239643527118728770e+02,-7.535450961870400022e+01,1.390156906831122141e+00,0.000000000000000000e+00,8.229999999999999716e+01,2.541000000000000014e+01,5.000000000000000000e+01
4.500000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.233324373965899809e+02,-7.403713137626462526e+01,7.046939796746385376e-01,0.000000000000000000e+00,8.229999999999999716e+01,2.569999999999999929e+01,5.000000000000000000e+01
4.600000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.232670668467331296e+02,-7.386124075789727783e+01,5.941739111641438642e-01,0.000000000000000000e+00,8.229999999999999716e+01,2.573000000000000043e+01,5.000000000000000000e+01
4.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.225697809815934107e+02,-7.247395087413292458e+01,-9.583010746048326034e-02,0.000000000000000000e+00,8.229999999999999716e+01,2.605000000000000071e+01,5.000000000000000000e+01
4.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.220686067660242173e+02,-7.151376335335976364e+01,-5.548434126644528064e-01,0.000000000000000000e+00,8.229999999999999716e+01,2.628000000000000114e+01,5.000000000000000000e+01
4.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.218507049331680747e+02,-7.113253155886309287e+01,-7.181733743049842911e-01,0.000000000000000000e+00,8.229999999999999716e+01,2.637999999999999901e+01,5.000000000000000000e+01
