t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.309807917298414282e+02,-2.027116179122590722e+02,1.217308261824176441e+02,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.309807917298414282e+02,-1.941148921376181988e+02,1.131341004077767707e+02,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,4.999999999999998579e+01,1.309807917298414282e+02,-1.861252738341254371e+02,1.051444821042839948e+02,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.309807917298414282e+02,-1.786998885992249200e+02,9.771909686938349182e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.219000000000000128e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.307846800802708742e+02,-1.714205161123936705e+02,9.063583603212279627e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.228000000000000114e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.309154211799845768e+02,-1.652719919266192790e+02,8.435657074663470212e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.221999999999999886e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000001421e+01,1.306975193471284058e+02,-1.588942499172770226e+02,7.819673057014863105e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.232000000000000028e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,4.999999999999998579e+01,1.306975193471284058e+02,-1.533719358883089399e+02,7.267441654118051986e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.232000000000000028e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.303488764145585321e+02,-1.475669475483642543e+02,6.721807113380572218e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.248000000000000043e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,4.999999999999999289e+01,1.302835058647016808e+02,-1.426938304207274371e+02,6.241032455602574913e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.302835058647016808e+02,-1.382863646822587782e+02,5.800285881755709738e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.251000000000000156e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.301527647649879782e+02,-1.339379084465876986e+02,5.378514368159971326e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.257000000000000028e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000711e+01,1.296515905494188132e+02,-1.291726045829661018e+02,4.952101403354729570e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.280000000000000071e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.296515905494188132e+02,-1.256753919945080753e+02,4.602380144508926207e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.280000000000000071e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.295862199995619619e+02,-1.222990307028551769e+02,4.271281070329321494e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.282999999999999829e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.290850457839927685e+02,-1.183156636196294613e+02,3.923061783563669280e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.305999999999999872e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,1.288889341344222146e+02,-1.151667930853232065e+02,3.627785895090098478e+01,0.000000000000000000e+00,8.229999999999999716e+01,2.314999999999999858e+01,5.000000000000000000e+01
